Match ID,Spieler 1,Spieler 2,Gewinner,Verlierer,Score,Winner Avg,Loser Avg,Plattform,Status,Datum,Fehler
504,Raven,Nico Dresler,Nico Dresler,Raven,4:2,4707.0,4091.0,dart,confirmed,2026-04-11 16:38:24,"Winner Avg zu hoch, Loser Avg zu hoch"
494,Niklas H,Luca Plocher,Luca Plocher,Niklas H,4:1,5313.0,4262.0,scolia,confirmed,2026-04-11 12:56:02,"Winner Avg zu hoch, Loser Avg zu hoch"
475,AlkaTraz,Beischi,Beischi,AlkaTraz,4:2,5437.0,5161.0,scolia,confirmed,2026-04-10 18:20:30,"Winner Avg zu hoch, Loser Avg zu hoch"
456,Raven,Jonesyyyツ,Jonesyyyツ,Raven,4:0,4388.0,3711.0,dart,confirmed,2026-04-10 09:53:39,"Winner Avg zu hoch, Loser Avg zu hoch"
455,Jonesyyyツ,Maxi180,Jonesyyyツ,Maxi180,4:2,4851.0,5096.0,dart,confirmed,2026-04-10 09:12:52,"Winner Avg zu hoch, Loser Avg zu hoch"
442,RangerN,TommyThomson,RangerN,TommyThomson,4-1,7968.0,74.1,scolia,confirmed,2026-04-09 15:22:52,Winner Avg zu hoch
427,Beischi,Christian1980,Beischi,Christian1980,4:1,5006.0,4827.0,scolia,confirmed,2026-04-08 19:58:19,"Winner Avg zu hoch, Loser Avg zu hoch"
425,Christian1980,Bazzi,Christian1980,Bazzi,4:1,4464.0,4421.0,scolia,confirmed,2026-04-08 19:33:51,"Winner Avg zu hoch, Loser Avg zu hoch"
419,Christian1980,Marco Panzenböck,Christian1980,Marco Panzenböck,4:2,6406.0,6459.0,scolia,confirmed,2026-04-08 18:49:32,"Winner Avg zu hoch, Loser Avg zu hoch"
399,Marco Primus,Raven,Marco Primus,Raven,4:0,7422.0,4184.0,dart,confirmed,2026-04-08 14:07:18,"Winner Avg zu hoch, Loser Avg zu hoch"
393,Dome0105,Möffi,Dome0105,Möffi,4:1,584.0,55.0,scolia,confirmed,2026-04-08 12:45:13,Winner Avg zu hoch
386,Sebe K,Marco Primus,Marco Primus,Sebe K,4:0,7243.0,5933.0,dart,confirmed,2026-04-07 20:32:22,"Winner Avg zu hoch, Loser Avg zu hoch"
384,Marco Primus,Leon Kohl,Marco Primus,Leon Kohl,4:0,6465.0,6173.0,dart,confirmed,2026-04-07 20:08:40,"Winner Avg zu hoch, Loser Avg zu hoch"
